issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
10,20,BreakfastConduction – fry an egg (dry fry and discuss the coagulation of protein)Convection – pot of tea (use a glass jug and tea leaves to observe the convection currents)Radiation – toast (use the grill and observe the changes).Serve the egg on toast together with a cup of tea and link discussions to 1.4.1 – Why do we cook food?,Example Task – **BreakfastConduction – fry an egg (dry fry and discuss the coagulation of protein)Convection – pot of tea (use a glass jug and tea leaves to observe the convection currents)Radiation – toast (use the grill and observe the changes).Serve the egg on toast together with a cup of tea and link discussions to 1.4.1 – Why do we cook food?**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a long run-on sentence that combines a list of examples with an instruction without proper punctuation or formatting.
11,21,e.g. Victoria,Select a recipe you have made which illustrates this **e.g. Victoria** sandwich.,ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal British English, 'e.g.' is typically followed by a comma."
12,21,communities and cultures,"cooking methods introduced from other cultures, including from Black, Asian and minority ethnic **communities and cultures**",ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrase 'communities and cultures' is somewhat redundant; 'communities' often implies cultural aspects, making 'cultures' unnecessary here."
13,21,[1.3.3.](#page-18-0),This task is suitable for a homework exercise and can be tailored to suit learner ability and the focus of the lessons before or after it. There are natural links with module **[1.3.3.](#page-18-0)** Teachers might prefer to select the programme for the class and watch this in school in order to consolidate learning and highlight discussion points linked to other modules.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The period should typically follow the closing bracket of a hyperlink when it is part of the sentence's punctuation, i.e., `[1.3.3](#page-18-0).`"
14,24,in order to,It is likely that teachers will deliver some of this information at the beginning of the course **in order to** ensure safe and hygienic practices when learners are preparing food e.g. personal hygiene.,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'in order to' can often be replaced by 'to' for conciseness without loss of meaning.
15,24,are all needed,"However, it is important that learners are prepared for the Unit 1 assessment and therefore detailed information including different types of contamination, accurate temperatures, important points to consider when buying, storing, preparing and cooking food **are all needed**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'information' is uncountable and singular, requiring the singular verb 'is' rather than 'are'."
16,24,real life,"Resource – Teacher compiles a selection of photographs linked with **real life** food hygiene and safety situations, both good and bad.",ErrorCategory.SPELLING_ERROR,90,"When 'real-life' functions as a compound adjective modifying a noun (food hygiene), it should be hyphenated in British English."
17,24,cross over,Careful planning can allow all sections of this module to be covered as there is clear **cross over**.,ErrorCategory.SPELLING_ERROR,95,"When used as a noun, 'crossover' should be written as a single word."
18,25,Mind map why do we preserve food?,"## Example Task – Short, focused activities

- **Mind map why do we preserve food?**
- How can we preserve food to reduce food waste?",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The embedded question should use indirect question structure: 'why we preserve food', or be presented with a colon as a direct question prompt."
19,25,MAP etc.,"- Use YouTube clips to explain techniques such as freeze drying, **MAP etc.**
- Completion of a preservation table:",ErrorCategory.STYLISTIC_PREFERENCE,85,A comma should precede 'etc.' when it concludes a list.
20,25,activity etc. are important,"Terms such as blanching, available moisture, enzymic **activity etc. are important** and demonstrate a good level of understanding when applied correctly by learners.",ErrorCategory.STYLISTIC_PREFERENCE,85,A comma should precede 'etc.' when it concludes a list.
21,26,e-coli,"- the types of food poisoning bacteria, including campylobacter, salmonella, **e-coli**, Staphylococcus Norovirus, listeria
- the symptoms commonly associated with food poisoning.",ErrorCategory.SPELLING_ERROR,98,The correct scientific notation for the bacterium is 'E. coli' or 'E.coli'.
22,26,Staphylococcus Norovirus,"- the types of food poisoning bacteria, including campylobacter, salmonella, e-coli, **Staphylococcus Norovirus**, listeria
- the symptoms commonly associated with food poisoning.",ErrorCategory.FACTUAL_INACCURACY,98,"Staphylococcus (a bacterium) and Norovirus (a virus) are distinct pathogens and should be listed separately, e.g., 'Staphylococcus, Norovirus'."
23,26,e.g. Unit 3,"This could be presented in a table and used where appropriate **e.g. Unit 3**, as well as being an ideal revision resource for learners at the end of the course.",ErrorCategory.STYLISTIC_PREFERENCE,85,A comma should typically follow 'e.g.'.
24,26,1.5. Food Spoilage,Carefully designed case studies can cover all aspects of **1.5. Food Spoilage** and practical tasks will reinforce the information.,ErrorCategory.CONSISTENCY_ERROR,90,The phrasing '1.5. Food Spoilage' is inconsistent with standard document formatting for referring to a section topic; it should be '1.5 Food Spoilage' or '1.5: Food Spoilage'.
25,27,provide opportunity,"This will focus the learners and **provide opportunity** for questioning, discussion and checking learner progress and subject specific vocabulary in preparation for 1.6.2.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The noun 'opportunity' should be plural ('opportunities') or preceded by an article ('an opportunity') to agree with the implied multiple instances.
26,27,subject specific vocabulary,"This will focus the learners and provide opportunity for questioning, discussion and checking learner progress and **subject specific vocabulary** in preparation for 1.6.2.",ErrorCategory.STYLISTIC_PREFERENCE,88,'Subject-specific' is a compound adjective and should be hyphenated for clarity in British English.
27,28,high risk food,Learners should make the link between food safety and refrigerated transport and be aware of the importance of the links in the cold chain when getting **high risk food** from farm to field.,ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjective 'high-risk' should be hyphenated when preceding a noun for clarity in British English.
28,28,farm to field,Learners should make the link between food safety and refrigerated transport and be aware of the importance of the links in the cold chain when getting high risk food from **farm to field**.,ErrorCategory.AMBIGUOUS_PHRASING,95,The phrase 'farm to field' is ambiguous in the context of food supply chains; 'farm to fork' or 'field to fork' is the standard idiom for the journey from production to consumption.
29,29,e.g.,YouTube offers numerous clips of primary processing of ingredients **e.g.** wheat into flour - 'Where does flour come from?',ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal British English, 'e.g.' should typically be followed by a comma."
30,29,e.g.,"YouTube offers numerous clips of secondary processing **e.g.** how to make cheese and yoghurt, turning fruit into jam, how to make breakfast cereals etc.",ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal British English, 'e.g.' should typically be followed by a comma."
31,29,etc.,"YouTube offers numerous clips of secondary processing e.g. how to make cheese and yoghurt, turning fruit into jam, how to make breakfast cereals **etc.**",ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal British English, 'etc.' should be preceded by a comma when it concludes a list of items."
32,30,contributions cultural influences,"The **contributions cultural<br>influences** have had on the<br>food we eat in Wales, including<br>from Black, Asian and minority<br>ethnic communities and<br>individuals.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A preposition (e.g., 'of') or a relative pronoun (e.g., 'that') is missing between 'contributions' and 'cultural influences' to form a grammatically correct phrase."
33,30,cultures,"Learners will have the opportunity to plan<br>and prepare different dishes illustrating a<br>variety of cooking methods introduced from<br>other cultures, including from Black, Asian<br>and minority ethnic communities and<br>**cultures**.",ErrorCategory.STYLISTIC_PREFERENCE,80,"The word 'cultures' at the end of the sentence is redundant, as 'other cultures' has already been mentioned and 'ethnic communities' implies cultural groups."
34,33,it allows,There are many opportunities to include Relationships and Sexuality Education (RSE) in GCSE<br>Food and Nutrition. These opportunities are important to Learners because **it allows** the<br>development of empathy towards under-represented groups affected by disparities in food<br>availability.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The subject 'opportunities' is plural, so the verb should be 'they allow' to maintain subject-verb agreement."
35,35,it,There are many opportunities to include Career and Work-Related Experiences (CWRE) in GCSE Food and Nutrition. These opportunities are important to Learners because **it** will help them make informed choices when making decisions about further studies and future career options.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The pronoun 'it' does not agree with the plural subject 'opportunities'; it should be 'they'.
36,35,the Learners,Tasks including meal planning and preparation offer **the Learners** an authentic insight into the hygiene and safety practices required in the workplace in preparation for work experience and careers in the food industry.,ErrorCategory.CONSISTENCY_ERROR,90,The use of the definite article 'the' before 'Learners' is inconsistent with other instances in the document where 'Learners' is used without 'the'.
37,35,provides,Nutritional analysis and understanding the dietary requirements of individuals **provides** Learners with an appreciation of the opportunities in the health and social care system linked to the subject.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The compound subject 'Nutritional analysis and understanding' is plural, requiring the verb 'provide' instead of 'provides'."
38,35,highlights,"Learners investigating the primary and secondary processing of foods **highlights** industrial food practices and encourages reflection on careers of the past, present and future.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The subject 'Learners' is plural, requiring the verb 'highlight' instead of 'highlights'."
39,36,based,Learners must be able to select appropriate and relevant information when researching topics and use discipline-specific vocabulary when responding to Food and Nutrition **based** questions.,ErrorCategory.STYLISTIC_PREFERENCE,85,"A hyphen is typically used for compound adjectives preceding a noun, making 'Food and Nutrition-based' clearer (OED, Collins)."
40,36,peoples',Learners will have the opportunity to listen to other **peoples'** opinions when conducting sensory analysis exercises.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The possessive form of the plural noun 'people' is 'people's', not 'peoples''."
41,36,", and","Learners will have the opportunity to listen**,** and follow instructions when preparing, cooking and presenting food.",ErrorCategory.STYLISTIC_PREFERENCE,80,The comma before 'and' is unnecessary when joining two verbs in a compound predicate ('listen and follow').
42,36,related,Learners will have the opportunity to proofread and amend presentations linked to diet **related** diseases.,ErrorCategory.STYLISTIC_PREFERENCE,85,"A hyphen is typically used for compound adjectives preceding a noun, making 'diet-related' clearer (OED, Collins)."
43,37,welfareenergy balanceenvironmental sustainabilityhealth and wellbeingsociety,The impact of food choices on:<br>animal **welfareenergy balanceenvironmental sustainabilityhealth and wellbeingsociety.**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,Items in a list should be separated by commas and spaces for readability and grammatical correctness.
44,37,adaptions,Learners will have the opportunity to explain their<br>choices when justifying **adaptions** made to recipes<br>and menus.,ErrorCategory.SPELLING_ERROR,99,The correct spelling is 'adaptations' in British English.
45,37,cross<br>contamination,explaining how to prevent **cross<br>contamination** in the kitchen.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Cross-contamination' is typically hyphenated as a compound noun in British English for clarity.
46,37,discipline<br>– specific,"Learners will have the opportunity to use **discipline<br>– specific** vocabulary when demonstrating their<br>knowledge and understanding of the importance of<br>temperature control when preparing, cooking and<br>storing high risk foods.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Discipline-specific' functions as a compound adjective and should be hyphenated for clarity in British English.
47,37,high risk foods,"temperature control when preparing, cooking and<br>storing **high risk foods**.",ErrorCategory.STYLISTIC_PREFERENCE,85,'High-risk' functions as a compound adjective modifying 'foods' and should be hyphenated for clarity in British English.
48,37,in order to plan,They will be able to calculate energy and nutritional values in food **in order to plan** balanced diets and maintain good health throughout their different stages of life.,ErrorCategory.STYLISTIC_PREFERENCE,75,"'In order to' can often be replaced by 'to' without loss of meaning, making the sentence more concise."
49,37,dietary<br>related data,The collection of **dietary<br>related data** using suitable<br>methods.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Dietary-related' functions as a compound adjective and should be hyphenated for clarity in British English.
50,37,food diary which<br>includes,Learners will have the opportunity to collect data<br>using a carefully designed **food diary which<br>includes** portion size and quantities.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The clause 'which includes portion size and quantities' is non-restrictive, providing additional information, and therefore requires a comma before 'which'."
51,40,disease of affluence,Learners will have the opportunity to use a variety<br>of software tools and techniques to create<br>information leaflets focused on **disease of<br>affluence**.,ErrorCategory.STYLISTIC_PREFERENCE,85,"In this context, referring to a category of conditions, 'diseases of affluence' (plural) is more common and clearer in British English."
52,40,it allows,There are many opportunities to include Creativity and Innovation in GCSE Food and Nutrition.<br>These opportunities are important to Learners because **it allows** development of ingenuity and<br>practical skills.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The pronoun 'it' should agree with the plural subject 'These opportunities', therefore 'they allow' is grammatically correct."
53,40,adaption,"Recipe **adaption** for dietary requirements, personal preferences, food availability<br>or socio-economic issues can often result in interesting changes and Learner success.",ErrorCategory.SPELLING_ERROR,95,"'Adaptation' is the preferred and more common noun form in British English, as opposed to 'adaption'."
54,43,diet related diseases,"These opportunities are important to Learners because an in-depth understanding<br>of the dietary needs of individuals and **diet related diseases** will allow for issues to be<br>highlighted, and solve any problems.",ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjective 'diet-related' should be hyphenated when preceding a noun for clarity in British English.
55,43,solve any problems,"These opportunities are important to Learners because an in-depth understanding<br>of the dietary needs of individuals and diet related diseases will allow for issues to be<br>highlighted, and **solve any problems**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrase lacks parallel structure; 'to be highlighted' is passive, while 'solve' is active, creating a grammatical inconsistency. It should be 'to be highlighted and to be solved' or rephrased for consistency."
56,43,recipe adaption,Learners will apply these skills in practical situations<br>where food preferences or financial constraints might call for **recipe adaption** and lack of<br>equipment or ingredients could lead to problems being solved.,ErrorCategory.STYLISTIC_PREFERENCE,88,'Adaptation' is the more common and preferred term for the process of adapting in formal British English.
57,44,high risk foods,multiplication of micro-<br>organisms and prevent food<br>poisoning when handling<br>**high risk foods**?,ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjective 'high-risk' should be hyphenated when preceding a noun for clarity in British English.
58,46,Single celled,"Microorganism | **Single celled** organisms such as bacteria, yeasts and moulds.",ErrorCategory.SPELLING_ERROR,95,The compound adjective 'single-celled' should be hyphenated in British English.
59,46,Non starch,Non starch<br>polysaccharide<br>NSP | A complex carbohydrate known as dietary fibre.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'non-starch' should be hyphenated in British English.
60,46,Spinabifida,Spinabifida | A congenital neural tube defect.,ErrorCategory.SPELLING_ERROR,95,'Spina bifida' should be written as two separate words.
61,46,Under nutrition,Under nutrition | Consumption of too little food to meet the body's needs.,ErrorCategory.SPELLING_ERROR,95,'Undernutrition' should be written as a single word.
62,46,Water soluble,Water soluble vitamins | The vitamins that dissolve in water – vitamins C and the B group.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'water-soluble' should be hyphenated in British English.
