Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context,Pass Code
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,39,MORFOLOGIK_RULE_EN_GB,misspelling,Womens,Possible spelling mistake found.,"Women's, Women, Omens (+1 more)",...y relationships for young people. Welsh **Womens** Aid - Healthy Relationships   | |------...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,42,POSSIBILTY_POSSIBLE,style,possibilities,"Before ‘possible’, use a word such as “chances” or “opportunities”. Alternatively, keep ‘possibilities’ and replace ‘possible’.","chances, opportunities",...extile engineering • UX designer. These **possibilities** are made possible through design thinki...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,43,OUTSIDE_OF,style,inside of,This phrase is redundant. Consider using “inside”.,inside,...ains that the ability to find something **inside of** yourself to express creatively to the w...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,44,SUBJECT_MATTER,style,subject matter,This phrase is redundant. Consider using “subject” to avoid wordiness.,subject,"...nent form. I find inspiration in simple **subject matter**, women scrubbing steps, figures sitting...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,46,CD_TH,typographical,40 th,Did you mean “40th”?,40th,"...he Legacy of Derek Williams. Ai Weiwei, **40 th** Ed. Rosalie Kim, Hallyu!: The Korean Wa...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,46,COMMA_COMPOUND_SENTENCE_2,uncategorized,and,Use a comma before “and” if it connects two independent clauses (unless they are closely connected and short).,", and",...ted that feedback should remain positive** and** the teacher should create guidelines to...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,47,ALL_OF_THE,style,all of the,Consider removing “of” to be more concise,all the,"...sts work. In order to successfully meet **all of the** Assessment Objectives, it is important ...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,47,IN_THE_MOMENT,misspelling,in the moment,Did you mean “at the moment” (=currently)?,at the moment,... to be in essay format - notes created '**in the moment**' can have as much fluency as paragraphs...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,47,WHETHER,style,whether or not,"Consider shortening this phrase to just ‘whether’, unless you mean ‘regardless of whether’.",whether,"...e learner has approached their project, **whether or not** the |  4  BBC Bitesize has Eduqas resou...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,48,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...mes taken for granted. The size of paper** and** it's orientation and relationship to th...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,48,NEITHER_NOR,grammar,or,Use “nor” with neither.,nor,...clusive. This helps neither the learner **or** subject and should be challenged. |    ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,49,SALVADOR_DALI,uncategorized,Salvador Dali,Did you mean the Spanish surrealist artist “Salvador Dalí”?,Salvador Dalí,...and the Cubists) • Giorgio de Chirico • **Salvador Dali** • Rene Magritte • Bridget Riley • Zaha ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,49,MORFOLOGIK_RULE_EN_GB,misspelling,bitesize,Possible spelling mistake found.,"Bitesize, bite size, lifesize (+1 more)",...epeats and the geometries involved. BBC **bitesize** 5 provides a revision guide for pattern...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,50,MORFOLOGIK_RULE_EN_GB,misspelling,tryptichs,Possible spelling mistake found.,"triptychs, tryptic","...of stories from the Bible (sometimes as **tryptichs**), the sculptural forms of Barbara Hepwo...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,51,MORFOLOGIK_RULE_EN_GB,misspelling,modelmaking,Possible spelling mistake found.,model making,"...le', whether through drawing or through **modelmaking**, using appropriate scales from 1:2 for ...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,51,EN_COMPOUNDS_THREE_DIMENSIONAL,misspelling,three dimensional,This word is normally spelled with a hyphen.,three-dimensional,"...graphy), using perspective to represent **three dimensional** shapes on a 2 dimensional plan (paper, ...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,51,EN_COMPOUNDS___DIMENSIONAL,misspelling,2 dimensional,This word is normally spelled with a hyphen.,2-dimensional,"...represent three dimensional shapes on a **2 dimensional** plan (paper, canvas etc) is a technique...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,52,COMMA_COMPOUND_SENTENCE_2,uncategorized,and,Use a comma before “and” if it connects two independent clauses (unless they are closely connected and short).,", and",...s in this area are developing frequently** and** communication design is a popular degre...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,54,MORFOLOGIK_RULE_EN_GB,misspelling,futureproof,Possible spelling mistake found.,"future-proof, future proof",... Emerging materials and technologies to **futureproof** product development. Learners should sh...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,58,KNOW_NOW,misspelling,know,Did you mean “now”?,now,...1.1.1   | Amplification Learners should **know** understand                             ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,58,COMPRISED_OF,misspelling,comprises of,Did you mean “comprises” or “consists of”?,"comprises, consists of",...xtile Design within GCSE Art and Design **comprises of** the creation of designs and products fo...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,59,EN_SPLIT_WORDS_HYPHEN,misspelling,lens- based,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"lens-based, lens - based",...tographers or methods of making digital **lens- based** images. Welsh photographers have contri...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,60,GENERAL_XX,style,general public,Consider using only “public” to avoid wordiness.,public,...r scales which can be difficult for the **general public** to visualise. Learners will need to be ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,62,NNS_OF_SINGULAR_AGREEMENT,grammar,depends,Possible subject-verb agreement error.,"depend, depended",...sign. These opportunities of the future **depends** on the innovation and creative thinking...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,63,OUTSIDE_OF,style,outside of,This phrase is redundant. Consider using “outside”.,outside,"...ng, learner independence, opportunities **outside of** the classroom and engaging alternative ...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,64,EN_COMPOUNDS_SKETCH_BOOK,misspelling,sketch book,This word is normally spelled as one.,sketchbook,"...otation or more formal writing in their **sketch book** or preparatory work. It is much, much m...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,65,A_NNS,grammar,an outcomes,The plural noun “outcomes” cannot be used with the article “an”. Did you mean “an outcome” or “outcomes”?,"an outcome, outcomes","...hievements, where they are pleased with **an outcomes**, where things have gone wrong and how t...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,65,EN_UNPAIRED_QUOTES,typographical,',Unpaired symbol: ‘'’ seems to be missing,,"... where there is a formal requirement to **'**reflect on own  work, and record ideas, ...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,65,COMMA_COMPOUND_SENTENCE,uncategorized,or,Use a comma before ‘or’ if it connects two independent clauses (unless they are closely connected and short).,", or",...ng and  reflecting on design development** or** they could be diarised  entries into a ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,70,MORFOLOGIK_RULE_EN_GB,misspelling,wellinformed,Possible spelling mistake found.,"well-informed, well informed","...es, presenting work that is meaningful, **wellinformed** and in a sequence that can be easily fo...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,70,GENERAL_XX,style,general public,Consider using only “public” to avoid wordiness.,public,"...n of printed banners in a space for the **general public** in an art, craft and design submission....",LT
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.md,5,OUTSIDE_OF,style,outside of,This phrase is redundant. Consider using “outside”.,outside,...  ## Supervision  Work may be completed **outside of** the centre without direct supervision. ...,LT
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.md,5,SUBJECT_VERB_AGREEMENT,grammar,are,The verb form ‘are’ does not seem to match the subject ‘assessment’.,"is, was, were (+1 more)",... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,LT
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.md,6,THE_THEM,misspelling,the to,Did you mean “them to” or “the two”?,"them to, the two",...# Further information  You should refer **the to** WJEC Assessment Guide / JCQ Instruction...,LT
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.md,14,DOUBLE_PUNCTUATION,typographical,",",Two consecutive commas,",","... understand the assessment requirements,** ,** but there are rules about the kind of h...",LT
Art-and-Design,gcse-art-and-design---unit-1-non-exam-assessment-pack.md,15,MD_BASEFORM,grammar,outlines,The modal verb ‘will’ requires the verb’s base form.,outline,... The guidance in the graphic below will **outlines** what your work should include.  AO4  AO...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,OUTSIDE_OF,style,outside of,This phrase is redundant. Consider using “outside”.,outside,"...t 1, no controls. Work may be completed **outside of** the centre without direct supervision. ...",LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,SUBJECT_VERB_AGREEMENT,grammar,are,The verb form ‘are’ does not seem to match the subject ‘assessment’.,"is, was, were (+1 more)",... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,OUTSIDE_OF,style,outside of,This phrase is redundant. Consider using “outside”.,outside,...arner must not access any of their work **outside of** the designated sustained focus work ses...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,COMMA_COMPOUND_SENTENCE_2,uncategorized,but,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,", but",... not have to be a finished piece of work** but** there should be enough completed to dem...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,INDEPENDENTLY_FROM_OF,grammar,independently from,"The usual collocation for “independently” is “of”, not “from”. Did you mean “independently of”?",independently of,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,INDEPENDENTLY_FROM_OF,grammar,independently from,"The usual collocation for “independently” is “of”, not “from”. Did you mean “independently of”?",independently of,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,MD_BASEFORM,grammar,outlines,The modal verb ‘will’ requires the verb’s base form.,outline,... The guidance in the graphic below will **outlines** what your work should include.  AO4  AO...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,COMMA_COMPOUND_SENTENCE_2,uncategorized,but,Use a comma before ‘but’ if it connects two independent clauses (unless they are closely connected and short).,", but",... not have to be a finished piece of work** but** there should be enough completed to dem...,LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,MORFOLOGIK_RULE_EN_GB,misspelling,&amp,Possible spelling mistake found.,"camp, lamp, ramp (+10 more)","...ver the following pathways:  Art, Craft **&amp**; Design Fine Art Graphic Communication ...",LT
Art-and-Design,gcse-art-and-design---unit-2-externally-set-assignment.md,,MORFOLOGIK_RULE_EN_GB,misspelling,YY,Possible spelling mistake found.,"BY, MY, YE (+38 more)",...------| |         | DD      | MM      | **YY**      |       | Hour       | Minutes | |...,LT
Art-and-Design,overview-of-consultation-findings.md,2,MORFOLOGIK_RULE_EN_GB,misspelling,GCSEArt,Possible spelling mistake found.,GCSE Art,...                                    | | **GCSEArt** and Design................................,LT
Art-and-Design,overview-of-consultation-findings.md,6,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...greater detail with Qualifications Wales** and** we will also be discussing the issue wi...,LT
Art-and-Design,overview-of-consultation-findings.md,7,ALL_OF_THE,style,all of the,Consider removing “of” to be more concise,all the,...ications will provide stakeholders with **all of the** information they require in due course....,LT
Art-and-Design,overview-of-consultation-findings.md,10,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...hat the content is teachable in the time** and** we will strengthen our focus on reviewi...,LT
Art-and-Design,overview-of-consultation-findings.md,11,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",... balance of physical and human geography** and** we have updated the possible areas to b...,LT
Art-and-Design,overview-of-consultation-findings.md,11,ENGLISH_WORD_REPEAT_RULE,duplication,that that,Possible typo: you repeated a word.,that,...ts generally agreed or partially agreed **that that** the proposed assessment approach is app...,LT
Art-and-Design,overview-of-consultation-findings.md,13,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...sed concern that the weighting was heavy** and** it would impact on teacher workload. We...,LT
Art-and-Design,overview-of-consultation-findings.md,14,WHETHER,style,whether or not,"Consider shortening this phrase to just ‘whether’, unless you mean ‘regardless of whether’.",whether,...dual learners or groups of learners and **whether or not** the teacher performs the control elemen...,LT
Art-and-Design,overview-of-consultation-findings.md,16,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...r for this unit is aware of the concerns** and** we will aim to include writing that rep...,LT
Art-and-Design,overview-of-consultation-findings.md,18,EN_COMPOUNDS_TIME_CONSUMING,misspelling,time consuming,This word is normally spelled with a hyphen.,time-consuming,...ondents conveying that oracy tasks were **time consuming** and difficult to administer. As a direc...,LT
Art-and-Design,overview-of-consultation-findings.md,18,IN_OR_WITH_REGARDS_TO_OF,misspelling,with regards to,"Although “with regards to” is sometimes used in casual speech, it is typically considered a nonstandard phrase.","in regard to, with regard to, regarding",...t is clearly on 'Continuity and change' **with regards to** both language and ideas. There will now...,LT
Art-and-Design,overview-of-consultation-findings.md,19,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",... are supported by this new qualification** and** we will work to ensure that this is the...,LT
Art-and-Design,wjec-gcse-art-and-design-specification.md,10,MORFOLOGIK_RULE_EN_GB,misspelling,Thet,Possible spelling mistake found.,"The, That, Then (+11 more)",...-----------------    ## Textile design  **Thet** textile design pathway is defined as th...,LT
Art-and-Design,wjec-gcse-art-and-design-specification.md,11,MORFOLOGIK_RULE_EN_GB,misspelling,threedimensional,Possible spelling mistake found.,"three-dimensional, three dimensional","...the work of historical and contemporary **threedimensional** designers and makers, as well as the di...",LT
Art-and-Design,wjec-gcse-art-and-design-specification.md,21,CD_TH,typographical,1 st,Did you mean “1st”?,1st,...released on the WJEC Portal on December **1 st** in the final year of each series. This ...,LT
Business,gcse-business---delivery-guide.md,5,EN_COMPOUNDS_HAND_WRITTEN,misspelling,hand written,This word is normally spelled as one.,handwritten,"...ust be submitted digitally (they may be **hand written** and scanned, or completed digitally).  ...",LT
Business,gcse-business---delivery-guide.md,7,EN_COMPOUNDS_HAND_WRITTEN,misspelling,hand written,This word is normally spelled as one.,handwritten,"...ust be submitted digitally (they may be **hand written** and scanned, or completed digitally).  ...",LT
Business,gcse-business---delivery-guide.md,16,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...pected to demonstrate in their responses** and** they are then used in marking the work....,LT
Business,gcse-business---delivery-guide.md,16,EN_COMPOUNDS_HIRE_PURCHASE,misspelling,hire purchase,This word is normally spelled with a hyphen.,hire-purchase,...ank loans • government grants • leasing/**hire purchase** • new investors • overdraft • share iss...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,1,UNLIKELY_OPENING_PUNCTUATION,uncategorized,:,Loose punctuation mark.,,...fications Wales  Guidance for Teaching  **:** Unit 1  Teaching from 2025 For award fr...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,9,MORFOLOGIK_RULE_EN_GB,misspelling,inspirational-success-story-of-amazons-founder,Possible spelling mistake found.,inspirational-success-story-of-Amazons-founder,...daymagazine.com/2022/07/jeff-bezos-the- **inspirational-success-story-of-amazons-founder**/ Learners to discuss how the entreprene...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,15,MORFOLOGIK_RULE_EN_GB,misspelling,deborah-coughlin,Possible spelling mistake found.,Deborah-Coughlin,...dy/women-in-innovation-success-stories- **deborah-coughlin**/ Teachers can show the latest informati...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,17,EN_UNPAIRED_QUOTES,typographical,',Unpaired symbol: ‘'’ seems to be missing,,... of ' Famous slogans lost in translation**'** and the importance of cultural and lang...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,20,GOOGLE_PRODUCTS,uncategorized,google,The name of this company should be capitalized.,Google,...p research information could be done on **google** jam board or an interactive Canva white...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,23,MORFOLOGIK_RULE_EN_GB,misspelling,new-lease-of-life-at-merthyr-tydfil-s-newest-re-use-shop,Possible spelling mistake found.,new-lease-of-life-at-Merthyr-tydfil-s-newest-re-use-shop,...ws-and-events/latest-news/give-items-a- **new-lease-of-life-at-merthyr-tydfil-s-newest-re-use-shop**/ Thought shower - learners to discuss t...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,24,EN_SPLIT_WORDS_HYPHEN,misspelling,break- even,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"break-even, break - even, breakeven",... stakeholders. | | 1.7.2 The purpose of **break- even**    | Learners should understand the pur...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,25,EN_SPLIT_WORDS_HYPHEN,misspelling,break- even,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"break-even, break - even, breakeven",...ould be able to calculate and interpret **break- even** through the contribution method.   | Le...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,29,EN_SPLIT_WORDS_HYPHEN,misspelling,work- related,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"work-related, work - related","...on of some of the different careers and **work- related** areas, linked to the subject content   ...",LT
Business,gcse-business---guidance-for-teaching-unit-1.md,32,BOTH_AS_WELL_AS,grammar,as well as,Probable usage error. Use “and” after ‘both’.,and,...re of consumers from both within the UK **as well as** from a global market. Learners could be...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,35,POSSESSIVE_APOSTROPHE,typographical,currents,An apostrophe may be missing.,"currents', current's",...trends and use this to reflect on their **currents** skill set and explore what skills may b...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,35,POSSESSIVE_APOSTROPHE,typographical,currents,An apostrophe may be missing.,"currents', current's",...trends and use this to reflect on their **currents** skill set and explore what skills may b...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,35,POSSESSIVE_APOSTROPHE,typographical,currents,An apostrophe may be missing.,"currents', current's",...trends and use this to reflect on their **currents** skill set and explore what skills may b...,LT
Business,gcse-business---guidance-for-teaching-unit-1.md,37,BOTH_AS_WELL_AS,grammar,as well as,Probable usage error. Use “and” after ‘both’.,and,"... all topic areas, both in small groups, **as well as** a class. This not only enhances underst...",LT
Business,gcse-business---guidance-for-teaching-unit-1.md,38,EN_UNPAIRED_QUOTES,typographical,',Unpaired symbol: ‘'’ seems to be missing,,"...chniques. When tackling ' Sustainability**'** (1.1.7), learners could create a sustai...",LT
Business,gcse-business---guidance-for-teaching-unit-1.md,39,EN_SPLIT_WORDS_HYPHEN,misspelling,break- even,This word seems to be formatted incorrectly. Consider fixing the spacing or removing the hyphen completely.,"break-even, break - even, breakeven","...evenue, costs and profit The purpose of **break- even** Break-even and contribution            ...",LT
